onset_time	type	cond	stimuli
218700	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
221400	TEXT_STREAM	calculvideo	calculez~dix-neuf~moins~sept
224700	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
227700	TEXT_STREAM	clicDvideo	appuyez~trois fois~sur le bouton~droit
230700	SOUND_STUFF	clicDaudio	clic3D.wav
234000	TEXT_STREAM	calculvideo	calculez~onze~moins~trois
236700	SOUND_STUFF	phraseAudio	ph7.wav
246000	TEXT_STREAM	phraseVideo	la pluie~a rendu~la route~dangereuse
248400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
251700	SOUND_STUFF	calculaudio	calc7.wav
254700	SOUND_STUFF	clicGaudio	clic3G.wav
257399	SOUND_STUFF	clicGaudio	clic3G.wav
260399	TEXT_STREAM	calculvideo	calculez~dix-sept~moins~six
264000	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
266700	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
269700	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
275400	TEXT_STREAM	clicDvideo	appuyez~trois fois~sur le bouton~droit
278400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
284400	SOUND_STUFF	phraseAudio	ph8.wav
288000	TEXT_STREAM	phraseVideo	Les roses~sont belles~mais elles~piquent
291000	TEXT_STREAM	clicDvideo	appuyez~trois fois~sur le bouton~droit
293400	SOUND_STUFF	phraseAudio	ph9.wav
296700	SOUND_STUFF	phraseAudio	ph10.wav
